31
 	39.4013 	35.5498 	40.8061
 	96.1496 	17.2230 	20.2085
 	39.1540 	31.7134 	67.9810
 	15.3780 	24.1785 	15.0198
 	73.9549 	94.1786 	11.4760
 	66.2840 	30.1865 	68.9605
 	67.8893 	15.2114 	 8.2204
 	65.0067 	69.1045 	 8.1629
 	66.0271 	53.3562 	 1.0728
 	79.8283 	89.5663 	98.1556
 	92.2969 	40.7956 	73.0737
 	31.3747 	23.7913 	 2.9207
 	85.7439 	34.6871 	38.8572
 	68.6842 	52.3365 	89.5971
 	53.5085 	31.8831 	85.5553
 	21.5638 	80.4936 	68.8195
 	 9.4934 	24.6443 	 7.0916
 	58.6830 	66.4840 	11.8637
 	48.8134 	 6.3735 	90.3604
 	 6.7121 	34.1167 	 2.6965
 	17.4029 	 9.1081 	11.2609
 	13.6321 	79.1562 	82.2629
 	16.6814 	68.3020 	94.5871
 	 0.3190 	98.0272 	89.7396
 	79.0491 	 3.0367 	73.4610
 	30.4988 	 9.6424 	36.1335
 	60.3468 	60.7921 	45.6159
 	10.0300 	 6.0101 	71.2710
 	78.9084 	65.8461 	69.7155
 	 9.7333 	88.3705 	53.3479
 	20.0352 	59.7255 	44.9704
